Month,Year,wellme,Discharge,TRMM,LST,Vegetation,Canopy,SoilMoisture,SWE,Thickness,Conductivity,Lat,Long,GRACE_TWSA,GWLA,DGWL_m
1,2006,GoodHope,13.680676,115.320009,1.238889,0,0.151711,467.295176,0.0128,82.22838505,15.52540707,40.652613,-90.622262,-52.934505,-1042.591846,2.9566
1,2006,Greenfield,16.98143953,63.4922865,2.65576491,0.001270521,0.176606801,544.2040808,0.023576619,59.30343667,12.16386144,39.31818397,-90.22482828,-46.862107,-1653.808941,5.6327
1,2006,Janesville,35.78636499,73.76640773,2.999843986,0.032816786,0.201352529,576.21141,0.554014506,78.83670822,20.97618431,39.32451932,-88.2401593,-31.266712,-221.3385882,1.8898
1,2006,Kilbourne,28.875321,106.730553,0.445833,0.694444,0.1341,483.980686,0.004267,157.8064065,67.65506536,40.152613,-90.122262,-52.934505,-138.5147397,9.8607
1,2006,Monmouth,14.59074368,109.8849372,0.746151568,0,0.169658568,456.2522637,0.011843526,83.93360094,14.78721648,40.91261418,-90.58640341,-52.934505,-1547.556921,4.6793
1,2006,Mt.Morris,18.62428457,113.518083,-2.623325758,0,0.273893493,440.5575517,0.097980866,116.8254293,42.68084491,42.03088021,-89.46680381,-37.082208,-2252.534204,8.9642
1,2006,Olney,37.689122,94.949566,3.930556,0.891685,0.195811,568.039727,2.092089,50.98615798,16.03925486,38.652613,-88.122262,-30.451102,571.9620823,0.6699
1,2006,Peoria,24.42990183,122.0081792,-0.193673377,0.035826177,0.206055029,537.1602239,0.003180803,230.5888488,30.29344243,40.74529437,-89.50606312,-43.771921,-1063.469234,3.2176
1,2006,Perry,20.08480895,83.78485209,1.654361906,0.001330329,0.15503462,494.704117,0.039139508,69.61666284,35.1238178,39.7904213,-90.622262,-46.862107,-3122.068298,5.9625
1,2006,RendLake,40.711557,101.733467,2.543056,3.103668,0.096,520.213213,0.150756,49.96639723,20.44530241,38.152613,-88.872262,-30.451102,537.9859874,0.9491
1,2006,S.E.ILCollege,53.539674,143.268642,5.455305349,6.368272904,0.17315436,507.9220459,0.303995865,26.7466805,,37.7599857,-88.46756041,-29.804394,,
1,2006,Snicarte,28.875321,106.730553,0.445833,0.694444,0.1341,483.980686,0.004267,157.8064065,67.65506536,40.152613,-90.122262,-52.934505,-471.6617872,12.2194
1,2006,SpartaEden,25.916188,90.251835,4.9975,1.443696,0.1358,564.606459,0.278756,47.53983557,12.42788318,38.152613,-89.622262,-35.159152,409.5618621,1.6368
1,2006,Springfield,18.046009,65.883924,1.848611,0,0.270033,523.34495,0,66.13090723,12.35046259,39.652613,-89.622262,-37.871583,,
1,2006,St.Charles,21.324478,117.430313,-2.175278,0.211353,0.22,491.71758,0.137956,112.8158661,40.42392446,41.902613,-88.372262,-38.195586,-669.1792864,8.6023
1,2006,St.Peter,31.226281,73.800928,3.085,0.047587,0.149511,610.12325,0.526222,54.07055919,8.007969684,38.902613,-88.872262,-30.451102,527.487931,0.3048
1,2006,Stelle,30.549049,94.050404,-0.534722,0,0.315578,510.550629,0.017067,112.8412602,14.8445014,40.902613,-88.122262,-34.689138,-1203.655258,2.1002
1,2006,SWS,25.540119,67.536999,3.016944,0.023301,0.124422,553.318292,0.0896,58.73428647,22.05608377,38.652613,-90.122262,-38.887757,,
1,2007,Barry,22.87092444,81.29709006,-0.24501032,0,0.194703059,516.1883158,0.016209268,67.27772721,32.54321969,39.75778929,-90.622262,42.785912,235.2224727,3.333
1,2007,Bellville,26.38707364,116.7118083,1.632292253,0.732827261,0.182123339,582.1443609,0.011412073,53.08873159,25.26244164,38.52109241,-89.78808772,70.878329,330.6180375,1.1372
1,2007,BigBend,23.178686,38.260393,-4.276111,0.023301,0.267233,567.937093,0.066844,151.7032217,74.76601622,41.652613,-90.122262,24.655324,-3.774247379,4.5111
1,2007,Bondville,27.581355,129.465637,-1.074167,0,0.3933,581.802341,0.0512,182.2472101,34.22539457,40.152613,-88.372262,37.953686,966.9677325,0.4608
1,2007,Boyleston,30.553072,133.420504,1.844167,0.354771,0.2019,675.990431,0,43.27882995,10.62352593,38.402613,-88.372262,81.333081,,
1,2007,Brownstown,28.03905,121.717815,0.433889,0.204789,0.2253,628.556478,0.019911,54.07055919,8.007969684,38.902613,-88.872262,81.333081,779.723835,0.1811
1,2007,Carbondale,29.53195043,144.1857668,2.598767608,1.593874994,0.15617034,660.4872786,0.006396352,43.86753473,8.636314476,37.74240261,-89.24478017,90.047948,1159.118625,0.4855
1,2007,CrystalLake,21.453598,64.727553,-2.711111,1.933352,0.250344,637.005907,0.337067,197.443757,31.88488981,42.152613,-88.372262,16.7976,-172.9596226,1.6459
1,2007,Dekalb,24.196892,64.965783,-3.864167,0.007548,0.339633,643.147054,0.231822,138.3924483,28.95619436,41.902613,-88.872262,29.72122,781.4725012,0.2547
1,2007,DixonSprings,39.01241399,178.9116096,2.930601436,6.721027625,0.177240783,629.1091083,0.00192713,21.01098864,,37.69445165,-88.63451125,99.232719,,
